
# x sin_integral
-12.5663706143592 -1.49216122558446
-12.4407069082156 -1.49279293150930
-12.3150432020720 -1.49469510456768
-12.1893794959284 -1.49786349969179
-12.0637157897848 -1.50227387434266
-11.9380520836412 -1.50788195543132
-11.8123883774976 -1.51462371159424
-11.6867246713540 -1.52241593256441
-11.5610609652104 -1.53115711284751
-11.4353972590669 -1.54072863234702
-11.3097335529233 -1.55099622204814
-11.1840698467797 -1.56181169843463
-11.0584061406361 -1.57301494604153
-10.9327424344925 -1.58443612350345
-10.8070787283489 -1.59589806470651
-10.6814150222053 -1.60721884324830
-10.5557513160617 -1.61821446541175
-10.4300876099181 -1.62870165431190
-10.3044239037745 -1.63850068582514
-10.1787601976309 -1.64743823539417
-10.0530964914874 -1.65535019384888
-9.92743278534376 -1.66208441001619
-9.80176907920017 -1.66750331812377
-9.67610537305658 -1.67148640884052
-9.55044166691299 -1.67393250423693
-9.42477796076940 -1.67476179897996
-9.29911425462581 -1.67391763268037
-9.17345054848222 -1.67136796145647
-9.04778684233862 -1.66710650043165
-8.92212313619503 -1.66115351299898
-8.79645943005144 -1.65355622721436
-8.67079572390785 -1.64438886456232
-8.54513201776426 -1.63375227151240
-8.41946831162067 -1.62177314968089
-8.29380460547708 -1.60860288596123
-8.16814089933349 -1.59441598961004
-8.04247719318990 -1.57940814889884
-7.91681348704630 -1.56379392548519
-7.79114978090271 -1.54780411004309
-7.66548607475912 -1.53168276784519
-7.53982236861553 -1.51568400783286
-7.41415866247194 -1.50006851317490
-7.28849495632834 -1.48509987533332
-7.16283125018475 -1.47104077716543
-7.03716754404116 -1.45814907353871
-6.91150383789757 -1.44667382027212
-6.78584013175398 -1.43685130390316
-6.66017642561039 -1.42890112578333
-6.53451271946679 -1.42302239430204
-6.40884901332320 -1.41939007861791
-6.28318530717961 -1.41815157613263
-6.15752160103602 -1.41942354408167
-6.03185789489243 -1.42328904305545
-5.90619418874883 -1.42979503702787
-5.78053048260524 -1.43895029059265
-5.65486677646165 -1.45072369963536
-5.52920307031806 -1.46504308665233
-5.40353936417447 -1.48179448642813
-5.27787565803087 -1.50082194186779
-5.15221195188728 -1.52192782352216
-5.02654824574369 -1.54487367982461
-4.90088453960010 -1.56938161835686
-4.77522083345651 -1.59513621166883
-4.64955712731291 -1.62178691437935
-4.52389342116932 -1.64895097157245
-4.39822971502573 -1.67621679196479
-4.27256600888214 -1.70314775304351
-4.14690230273855 -1.72928639944296
-4.02123859659496 -1.75415899032612
-3.89557489045136 -1.77728034653732
-3.76991118430777 -1.79815894386620
-3.64424747816418 -1.81630219497348
-3.51858377202059 -1.83122185942989
-3.39292006587700 -1.84243951895802
-3.26725635973340 -1.84949205337939
-3.14159265358981 -1.85193705198247
-3.01592894744622 -1.84935809505819
-2.89026524130263 -1.84136984120401
